MDSS01.LC03PRMA.AC01008,Condenser 1A FouledClogged (SW side),,,,,Shipboard BBNs
MDSS01.LC03PRMA.AC01016,Condenser 1B FouledClogged (SW side),,,,,Shipboard BBNs
MDSS01.LC03PRMA.AC01018,CW Pump 1 Worn,,,,,Shipboard BBNs
MDSS01.LC03PRMA.AC01021,Pump Motor Misalignment,,,,,Shipboard BBNs
MDSS01.LC03PRMA.AC01022,Pump Power Supply Problem,,,,,Shipboard BBNs
MDSS01.LC03PRMA.AC01023,Pump Electrical imbalance,,,,,Shipboard BBNs
MDSS01.LC03PRMA.AC01024,Pump Rotor Bars crackedloose,,,,,Shipboard BBNs
MDSS01.LC03PRMA.AC01025,Pump Motor DE Bearing worndamaged,,,,,Shipboard BBNs
MDSS01.LC03PRMA.AC01026,Pump Motor ODE Bearing worndamaged,,,,,Shipboard BBNs
MDSS01.LC03PRMA.AC01027,Pump Lamination wornloose,,,,,Shipboard BBNs
MDSS01.LC03PRMA.AC01028,Pump Stator Windings openshorted,,,,,Shipboard BBNs
MDSS01.LC03PRMA.AC01030,Pump Motor Foundation Foot brokenwarped,,,,,Shipboard BBNs
MDSS01.LC03PRMA.AC01031,Comp 1A Motor Misalignment,,,,,Shipboard BBNs
MDSS01.LC03PRMA.AC01032,Comp 1A Power Supply Problem,,,,,Shipboard BBNs
MDSS01.LC03PRMA.AC01033,Comp 1A Electrical imbalance,,,,,Shipboard BBNs
MDSS01.LC03PRMA.AC01034,Comp 1A Rotor Bars crackedloose,,,,,Shipboard BBNs
MDSS01.LC03PRMA.AC01035,Comp 1A Motor DE Bearing worndamaged,,,,,Shipboard BBNs
MDSS01.LC03PRMA.AC01036,Comp 1A Motor ODE Bearing worndamaged,,,,,Shipboard BBNs
MDSS01.LC03PRMA.AC01037,Comp 1A Lamination wornloose,,,,,Shipboard BBNs
MDSS01.LC03PRMA.AC01038,Comp 1A Stator Windings openshorted,,,,,Shipboard BBNs
